,Tweets,Dates
0,SARS!? https://t.co/rNazXmMlTq,2020-01-16
1,"@JustXavierB @TDilema @KhulaniQoma @samkelemaseko But that has nothing to do with Pravin. Its the NPA, SARS and SAR… https://t.co/G7heidN3Mx",2020-01-16
2,"As clean as Japan is AND with the face masks, wowwwwwwww, how did SARS anything break through? And you know the… https://t.co/P3fUC27zpZ",2020-01-16
3,"China's new SARS-like virus has spread to Japan, but we still know very little about it https://t.co/Vgz1oT2FUv",2020-01-16
4,SARS is back! I remember the first big epidemic I was in primary school and each morning we wrote out increasingly… https://t.co/b5vBKwk2BH,2020-01-16
5,"火星で2時間時差ボケ
↓
2類感染症
MARS H5N1 ジフテリア SARS ポリオ 結核

時差は時間（Hour）から、H5N1を想像してください！",2020-01-16
6,"@xiaotuanzi2016 私の記憶にあったのはやはりSARS時みたいです。到着してもすぐ降りられなくてこんなことしてました。

https://t.co/2BsHBwgdES",2020-01-16
7,Japan confirms its first case of the SARS-like coronavirus  https://t.co/lSPWAbowwG,2020-01-16
8,"@MackayIM @naif_khalaf @ChariteBerlin Yes, and because the Wuhan virus is a strain within the  ""SARS-related Corona… https://t.co/RhLKBZNaqy",2020-01-16
9,@gabsmashh How does MERS differ from SARS?,2020-01-16
10,新型肺炎に聞き覚えあると思ってたらSARSか。確かシンガポールから帰国したら話題になってて、かなり書類とか問診票書かされた気がする。,2020-01-16
11,Keep an eye on this...  https://t.co/jxl6apBbEA,2020-01-16
12,"@smith796000 ８８年：原因不明の肝炎が上海市を中心に大流行
９７年：鳥インフルエンザ発生
０２年：SARS発生

中国５千年の清潔思想の欠如が中国発の新型感染症の原因か（笑）
・家畜と同居する
・野生の動物を食べる
・… https://t.co/o9Pcrx4UrD",2020-01-16
13,"China's new SARS-like virus has spread to Japan, but we still know very little about it https://t.co/SfErGp41IF",2020-01-16
14,@QuickTake @business Is this sars in the gutter oil? Who did the man visit in Wuhan?,2020-01-16
15,New SARS-Like Virus in China May Spread Between People in Limited Cases https://t.co/as8oFmbddL https://t.co/TsZrKGRbod,2020-01-16
16,"The new SARS outbreak in China spreading across Asia.  Japan, HongKong, Thailand, and Vietnam confirmed. Does Canad… https://t.co/HS0ZqVQm9Z",2020-01-16
17,一方検疫は中国初のSARS MERSと同種の新たなコロナウイルスを素通りさせた,2020-01-16
18,"ラスカル医師キャスより
新しい肺炎はSARSに近いが

中国からの情報がまだ少ないそうで💧",2020-01-16
19,"そのピンポイントのためのワクチンに需要なんて無いと思います．それをやるなら，SARSが問題化した10年以上前に既にコロナ用ワクチンを作っております(実際は作らずに隔離強化で終了)．
それにコロナワクチンは最低7株の対処が必要です． https://t.co/tjHj7fZEt1",2020-01-16
20,@Badbadnogood8 畢竟曾走過SARS~再加上是小英政府有會做事的衝衝衝內閣,2020-01-16
21,"@Someone_2356 @tucaolema 別在坑香港了..........2003年就被SARS搞死了
還有香港醫療已經爆炸了別再往香港去了(有很多港仔跑到台灣求診他們把現香港醫院情況都說了~已經超過負荷)",2020-01-16
22,cool so sars is making a comeback in asia,2020-01-16
23,JCCテレビすべて ビッグニュース 1/16 22:51 BS1 BSニュース 新型ウイルス肺炎・遺伝子「SARS」と類似 神奈川県在住の30代の中国籍の男性は中国・武漢に滞在していた今月3日に発熱の症状が出た。今月6日に.. 2… https://t.co/KOZyeiWy0N,2020-01-16
24,"⚡️ “Japan confirms its first case of the SARS-like coronavirus”
by @QuickTake https://t.co/xP5yx8gAMc @TheView @cspanwj",2020-01-16
25,"黄色人種を削減するためのウイルスSARSをフリーメーソンが作ったことで中国の結社は決起しました。

2019.10.5",2020-01-16
26,そもそもコロナウイルスのワクチンを作ったとして，SARS，MERS，更に今回の武漢新型，そして厚労省が出している一般の風邪をもたらすもので，合計は最低7株．インフルエンザのワクチン4株より多いし，作って売りに出せて間に合うなら，ある意味尊敬に値する．,2020-01-16
