,title,pubdate,Latitude,Longitude
0,Administration makes case for emergency Ebola funds #ebola http://t.co/O95M0zN3Xl or http://t.co/y4XQ8SnNrU,11/12/2014 23:15:37,-6.414994351873676,22.303813387305425
1,RT @UmaruFofana: #SierraLeone confirms 94 new #Ebola cases today with 53 in Freetown &amp; environs. It brings to 295 new cases in last 3 days.,11/12/2014 23:15:36,-6.993593629541255,23.971860616930346
2,Who will pay to stop Ebola?   http://t.co/hOeAMv3cZS  #americanpublic #ebola,11/12/2014 23:15:32,-3.8856772373000954,18.644760169719355
3,Administration makes case for emergency Ebola funds #ebola http://t.co/ubM12j56KP,11/12/2014 23:15:24,-2.4417689056401852,19.806200917112026
4,RT @UmaruFofana: #SierraLeone confirms 94 new #Ebola cases today with 53 in Freetown &amp; environs. It brings to 295 new cases in last 3 days.,11/12/2014 23:15:23,-4.954816724107971,22.365693168782375
5,NOW LISTEN TO .@PoliticalJones tkg #Ebola &amp; #PublicHealth w/ .@docgriggs: http://t.co/mWLo4Vg446  http://t.co/43p3fkgWNS,11/12/2014 23:15:21,-3.9719358288795963,23.374560904474333
6,"#Ebola death toll passes 5,000-mark: WHO",11/12/2014 23:15:20,-3.9877344628069338,22.616781361571405
7,African football latest victim of #Ebola after Morocco expelled from Cup of Nations tournament http://t.co/UahOe1lscZ http://t.co/IuHzjq6DFJ,11/12/2014 23:15:13,-3.511630809265692,21.109977507495476
8,Kim Kardashian Distracting us from what\'s really going on... #ebola,11/12/2014 23:15:10,-8.226761988716508,18.92797682510929
9,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 23:15:02,-5.427534987096934,22.45657639695109
10,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:15:01,-3.1030969880396384,20.926601264760105
