"['#Ebola in #DRC . Cases traced to Mabalako still fueling DRC Ebola outbreak https://t.co/R1TTcNymSf', datetime.datetime(2020, 1, 16, 12, 6, 16)]"
"['My first opinion piece for 2020 is for Project Syndicate @ProSyn : 👉👉 Why an #Ebola Vaccine Is Not Enough.\nhttps://t.co/4SHKubijCc', datetime.datetime(2020, 1, 16, 11, 38, 8)]"
"['Ease of movement in #DRC allows people to put food on the table, keep children in school, sell goods &amp; seek refuge… https://t.co/OiM6QYl4Ej', datetime.datetime(2020, 1, 16, 11, 37)]"
"[""Advanced #Diagnostics for Infectious Disease's final program is now online! Our opening session features… https://t.co/RzUX36vOm4"", datetime.datetime(2020, 1, 16, 11, 30, 30)]"
"['Great to see strong interest in excellent learning shared through #GettingtoZero @gatesfoundation #Ebola https://t.co/MPJCLmt9M0', datetime.datetime(2020, 1, 16, 11, 24, 50)]"
"['Human transmission of #WuhanPneumonia may be occuring as #Japan @NHKWorld_News confirms first case of #coronavirus… https://t.co/e544cklLu9', datetime.datetime(2020, 1, 16, 11, 3, 14)]"
"['Cases traced to Mabalako still fueling DRC #Ebola outbreak https://t.co/RQq7RWpKEG', datetime.datetime(2020, 1, 16, 10, 54, 18)]"
"['La enfermedad X podría matar a millones - advertencia de Bill Gates\nLa guerra NUCLEAR no es la mayor https://t.co/66T3BG0NTH #ebola', datetime.datetime(2020, 1, 16, 10, 24, 58)]"
"['This is about trust, no social media strategy is going to fix broken trust. Its much deeper. How #war and… https://t.co/URenIo3Y8x', datetime.datetime(2020, 1, 16, 10, 9, 8)]"
"['30 nuevos medicamentos aprobados en 2019 por la @EMA_News:\n\n🔸 1/3 corresponden a las áreas de #hematología y… https://t.co/2MS92eERGI', datetime.datetime(2020, 1, 16, 10, 3)]"
"['As global focus shifts to #WuhanSARS, good time to remember @WHO @MSF\n@WHOGOARN partners and multiple responders st… https://t.co/4EYrvuHvTG', datetime.datetime(2020, 1, 16, 9, 52, 19)]"
"['”During a Public Health Emergency like the #Ebola virus the media has to be very careful on how they report it, dur… https://t.co/aCZIGlDwqX', datetime.datetime(2020, 1, 16, 9, 51, 2)]"
"['Three new confirmed #Ebola cases @WHO @MinSanteRDC https://t.co/pQ4yDtndkJ', datetime.datetime(2020, 1, 16, 9, 48, 6)]"
"['@ombaggio Thank you for the conversation! What is specific to Eastern Congo that warrants a different approach, whi… https://t.co/MTisAtuC38', datetime.datetime(2020, 1, 16, 9, 43, 57)]"
"['Human Transmission Of New Coronavirus May Be Occuring; Ebola Outbreak Stabilizes https://t.co/Ti4FmO91AV… https://t.co/J1UpXXu67n', datetime.datetime(2020, 1, 16, 9, 39, 29)]"
"['#Ebola en #RDC        https://t.co/XOq82C1HMd', datetime.datetime(2020, 1, 16, 9, 28, 17)]"
"['This update includes news on the #Ebola vaccine, #infectious disease in China, #dengue in SEA, #tobacco control,… https://t.co/vxDmJCAlvr', datetime.datetime(2020, 1, 16, 9, 6, 34)]"
"['Amahugurwa y’abanyamakuru kuri Ebola: Abanyamakuru bakwiye kuba nyambere mu gutanga amakuru yizewe, kugenzura neza… https://t.co/atS2SZRu2G', datetime.datetime(2020, 1, 16, 9, 2, 48)]"
"['La Enfermedad X necesita investigación urgente como el Ébola 2019\nLas enfermedades virales son una de las https://t.co/S0cEP9nWUK #ebola', datetime.datetime(2020, 1, 16, 9, 0, 53)]"
"['Journalists from different media houses are being  enlightened on how to report public health emergencies… https://t.co/TqTwAl71mi', datetime.datetime(2020, 1, 16, 8, 59, 59)]"
"['Journalists from different media houses are being  enlightened on how to report public health emergencies… https://t.co/jRTGecIuOX', datetime.datetime(2020, 1, 16, 8, 59, 33)]"
"['""El #Ebola mata dos veces"".\nArtículo de @Hache_Hache \nhttps://t.co/ueSFTopdb1', datetime.datetime(2020, 1, 16, 8, 56, 39)]"
"['“Media will internationalize a Public Health crisis and this will help in tackling it... “ -Rajat Madhok \n\n#Ebola… https://t.co/WEyWl1Odap', datetime.datetime(2020, 1, 16, 8, 50, 15)]"
"['@VincentCrypt46 @Jordan_Sather_ Virus?  #Ebola\nVaccine by J&amp;J approved JUST LAST WEEK \n\nhttps://t.co/b7u0452GaA\n\nAn… https://t.co/JJ6N75CgEk', datetime.datetime(2020, 1, 16, 8, 48, 42)]"
"['“In early 80s and 90s American Journalists massively informed the world about HIV,  never underestimate the role of… https://t.co/5eB5urnWxX', datetime.datetime(2020, 1, 16, 8, 47, 34)]"
"[""@RajatMadhok : the media helps set the agenda, monitors appropriateness of response to the emergency and helps to '… https://t.co/ZH81Scgz6d"", datetime.datetime(2020, 1, 16, 8, 47, 9)]"
"['@unicefrw communication Expert shared his experience on the role of Mass Media in informing the public about the pr… https://t.co/buaXW3Teu9', datetime.datetime(2020, 1, 16, 8, 46, 32)]"
"['#Ebola-Ausbruch: Tod\xa0aus dem\xa0Regenwald https://t.co/7iwbl2Fo3n https://t.co/2jb5OZTCiw', datetime.datetime(2020, 1, 16, 8, 45, 33)]"
"['“The Mobile Journalism is and will be key in informing communities about a certain Public Health Emergence like… https://t.co/o4Gw3Tw5gE', datetime.datetime(2020, 1, 16, 8, 40, 11)]"
"[""With @RBCRwanda and @arjrwanda, we're training journalists from across Rwanda on #Ebola. \n\n#TwirindeEbola https://t.co/LsCz7sSdFl"", datetime.datetime(2020, 1, 16, 8, 37, 59)]"
"['Zones de santé les plus affectées par le #virus #Ebola en #RDC et nombre de #vaccinations effectuées https://t.co/2IyVqjaegm', datetime.datetime(2020, 1, 16, 8, 36, 52)]"
"['Local and international journalists being empowered with knowledge on how to better report public health emergencie… https://t.co/k1MyXlz0n6', datetime.datetime(2020, 1, 16, 8, 36, 16)]"
"[""Cumul des cas d '#Ebola en #RDC au 14 janvier 2020 https://t.co/3pgeVkkJOH"", datetime.datetime(2020, 1, 16, 8, 35)]"
"[""Suivi de l '#épidémie d' #Ebola en #RDC au 15 janvier 2020 https://t.co/hVbgL0SE3Q"", datetime.datetime(2020, 1, 16, 8, 34, 24)]"
"['Mr @AldoHavugimana chairman of @arjrwanda officiated a 3 days training of Journalists on Ebola prevention. He insis… https://t.co/CarV6BzXdD', datetime.datetime(2020, 1, 16, 8, 28, 53)]"
"['@RwandaHealth spokesman Kayumba: Media is a core partner in preventing and preparedness for epidemics. #Ebola #Rwanda @unicefrw @arjrwanda', datetime.datetime(2020, 1, 16, 8, 28, 11)]"
"['“You will never report or write on Public Health Threat like #Ebola when you don’t even understand the Virus, Commu… https://t.co/PEBwm4Amdl', datetime.datetime(2020, 1, 16, 8, 27)]"
"['In his Welcome remark Mr @AldoHavugimana a journalist and the President of @arjrwanda focused on the role of the me… https://t.co/rjDjOAEIEQ', datetime.datetime(2020, 1, 16, 8, 18, 57)]"
"['Happening now at Hilltop Hotel is the training on Public Health Emergencies reporting and writing focusing on… https://t.co/1Zp6q3MECq', datetime.datetime(2020, 1, 16, 8, 14, 45)]"
"[""Mise à jour #Ebola #RDC (provinces d'Ituri, N Kivu &amp; S Kivu) au 15 jan; données du 14 jan 2020. Trois (3) nouveaux… https://t.co/2efw7HzUpT"", datetime.datetime(2020, 1, 16, 8, 10, 28)]"
"[""Learn more about what @Cardno's @P4_Project and partners are doing to improve public health outcomes across the glo… https://t.co/VCVMGSmZp2"", datetime.datetime(2020, 1, 16, 8, 5, 4)]"
"['@HassanRouhani The story about the #Congo #Ebola crisis truly broke my heart. Nothing gets past me. Killing Medical… https://t.co/w57QCITfEd', datetime.datetime(2020, 1, 16, 7, 59)]"
"['It is amazing how the Red Cross volunteers have been supporting the response to #Ebola in #DRCongo, and how efforts… https://t.co/dc10yZFuwv', datetime.datetime(2020, 1, 16, 7, 58, 45)]"
"['In #DRCongo, misinformation about #Ebola persists even as cases slow. \n\nSharing information with at-risk communitie… https://t.co/hFxTtZ1lwv', datetime.datetime(2020, 1, 16, 7, 58, 25)]"
"['Heridos graves dos voluntarios de @CruzRojaEsp  por un ataque en el entierro de un enfermo de #ébola en RDC https://t.co/DzBe6ZN1Uj', datetime.datetime(2020, 1, 16, 7, 34, 25)]"
"['Protective clothing limits the interaction doctors in DRC can have with #Ebola patients. Frustrated by this, a Cong… https://t.co/Mr9A4RxDBZ', datetime.datetime(2020, 1, 16, 7, 30, 46)]"
"['BBC Newsday interviews @CIFOR scientist on deforestation, bats and Ebola study: Suspected Ebola carriers often thri… https://t.co/qCS8rzbZf8', datetime.datetime(2020, 1, 16, 7, 29, 48)]"
"['A short and clear read about why it is important to involve communities and negotiate a compromise between… https://t.co/csy2AQHt2W', datetime.datetime(2020, 1, 16, 7, 20, 3)]"
"['#Rougeole et #Ebola en #RDC  https://t.co/IUvaLwRmj5', datetime.datetime(2020, 1, 16, 6, 6, 1)]"
"['@MSF: DRC #Ebola outbreak crisis update, January 2020 https://t.co/CxQf89yvpT via @msf', datetime.datetime(2020, 1, 16, 5, 36, 24)]"
"['@NicolasJSimard @karinagould @LongondoEteni Le focus sur le système de santé est primordial car il n’y a pas qu’… https://t.co/zkT6rZP9Wh', datetime.datetime(2020, 1, 16, 4, 34, 6)]"
"['@OmariMemes MEGA #BIGFAX\n\n#BattleMemesByOmari #HeyGuysItsOmariPlzBeMyFanCuzImLonely #Oxygen #DragonBallMeme… https://t.co/7zap3kIz4m', datetime.datetime(2020, 1, 16, 4, 29, 56)]"
"['MEGA #BIGFAX\n\n#BattleMemesByOmari #HeyGuysItsOmariPlzBeMyFanCuzImLonely #Oxygen #DragonBallMeme #DragonBallSuper… https://t.co/mgPvmrAnN4', datetime.datetime(2020, 1, 16, 4, 26, 54)]"
"[""Nope. Can't hold it in any longer. Just curling up remembering every person I've ever met affected by a disaster in… https://t.co/qXV3ZGJhPI"", datetime.datetime(2020, 1, 16, 3, 6, 38)]"
